0,1,2,3,4,5
11020CHEM663000,書報討論(物化組)Seminar - Physical Chemistry Division,"鄭博元CHENG, PO-YUAN",2,4.15,0.15
11020CHEM666000,書報討論(無機組)Seminar - Inorganic,"彭之皓PENG, CHI-HOW",3,3.77,0.33
11020CHEM668000,書報討論(分析組)Seminar - Analytical Chemistry Division,"帕偉鄂本URBAN, PAWEL LUKASZ",2,4.3,0
11020CL  102001,大學中文College Chinese,"王月秀WANG, YUE-SHIOU",24,3.51,0.79
11020CL  102002,大學中文College Chinese,"劉盈成LIU, YIN-GHENG",24,3.99,0.2
11020CL  102003,大學中文College Chinese,"黃鈴棋HUANG, LING-CHI",25,3.48,1.15
11020CL  102004,大學中文College Chinese,"潘芊樺PAN, CHIEN-HUA",21,3.7,0.8
11020CL  102007,大學中文College Chinese,"謝明憲HSIEH, MING-HSIEN",25,3.78,0.7
11020CL  102008,大學中文College Chinese,"劉盈成LIU, YIN-GHENG",25,3.85,0.3
11020CL  102009,大學中文College Chinese,"孫立梅SUN, LI-MEI",17,4.25,0.11
11020CL  102010,大學中文College Chinese,"李瑞竹LEE, JUI-CHU",17,3.84,0.99
11020CL  102011,大學中文College Chinese,"王秋今WANG, CHIU-CHIN",25,3.79,0.68
11020CL  102014,大學中文College Chinese,"李慈恩LEE, TZU-EN",24,2.59,1.54
11020CL  102015,大學中文College Chinese,"方俠文FANG, SHIA-WEN",23,3.25,1.09
11020CL  102016,大學中文College Chinese,"李威寰LI, WEI-HUAN",24,3.7,0.42
11020CL  102017,大學中文College Chinese,"許漢祥HSU, HAN-HSIANG",25,3.68,0.87
11020CL  102018,大學中文College Chinese,"劉思妤LIU, SZU-YU",25,3.93,0.19
11020CL  102019,大學中文College Chinese,"劉璟翰LIU, CHING-HAN",23,3.86,0.33
11020CL  102021,大學中文College Chinese,"朱芯儀CHU, HSIN-I",23,3.56,1.11
11020CL  102022,大學中文College Chinese,"李威寰LI, WEI-HUAN",25,3.56,0.47
11020CL  102023,大學中文College Chinese,"盧晞雲LU, SEA-YUN",25,4.1,0.25
11020CL  102024,大學中文College Chinese,"劉思妤LIU, SZU-YU",24,4.03,0.24
11020CL  102025,大學中文College Chinese,"李瑞竹LEE, JUI-CHU",25,4.15,0.22
11020CL  102026,大學中文College Chinese,"王秋今WANG, CHIU-CHIN",25,3.95,0.42
11020CL  102029,大學中文College Chinese,"江曉輝KONH, HIU-FAI",24,3.58,0.75
11020CL  102030,大學中文College Chinese,"呂柏勳LU, BO-HSUEN",25,3.98,0.35
11020CL  102031,大學中文College Chinese,"林佩珊LIN, PEI-SHAN",25,3.88,0.83
11020CL  102032,大學中文College Chinese,"林家妃LIN, CHIA-FEI",23,3.64,0.92
11020CL  102035,大學中文College Chinese,"江曉輝KONH, HIU-FAI",24,3.82,0.23
11020CL  102036,大學中文College Chinese,"呂柏勳LU, BO-HSUEN",25,3.89,0.85
11020CL  102037,大學中文College Chinese,"林佩珊LIN, PEI-SHAN",23,3.72,1.16
11020CL  102038,大學中文College Chinese,"林家妃LIN, CHIA-FEI",19,3.32,1.33
11020CL  102040,大學中文College Chinese,"蔡幸娟TSAI, HSING-CHUAN",24,3.55,0.85
11020CL  102041,大學中文College Chinese,"朱芯儀CHU, HSIN-I",19,3.44,1.19
11020CL  102042,大學中文College Chinese,"盧晞雲LU, SEA-YUN",14,3.79,1.09
11020CL  102043,大學中文College Chinese,"許漢祥HSU, HAN-HSIANG",25,3.72,0.8
11020CL  102045,大學中文College Chinese,"潘芊樺PAN, CHIEN-HUA",21,3.63,1.06
11020CL  102046,大學中文College Chinese,"李東龍LI,TUNG-LUNG",24,3.88,0.41
11020CL  102048,大學中文College Chinese,"李慈恩LEE, TZU-EN",25,3.22,0.99
11020CL  102049,大學中文College Chinese,"方俠文FANG, SHIA-WEN",25,3.58,0.85
11020CL  102050,大學中文College Chinese,"王月秀WANG, YUE-SHIOU",22,3.86,0.61
11020CL  102051,大學中文College Chinese,"黃鈴棋HUANG, LING-CHI",21,3.42,1.15
11020CL  102052,大學中文College Chinese,"李東龍LI,TUNG-LUNG",24,3.86,0.47
11020CL  110802,基礎寫作二Basic Writing (II),"蔡幸娟TSAI, HSING-CHUAN",22,4.04,0.32
11020CL  110803,基礎寫作二Basic Writing (II),"李威寰LI, WEI-HUAN",22,3.96,0.26
11020CL  111200,語言學導論General Linguistics,"劉宜君LIU, I-CHUN",46,3.03,1
11020CL  112000,古籍導讀Introduction to Classical Works,"朱曉海CHU, HSIAO-HAI",12,3.22,1.24
11020CL  162900,紅樓夢Dream of the Red Chamber,"羅漪文LO, YI-WEN",17,3.47,0.67
11020CL  210300,詞選Selected Readings from Ci Poetry,"陳建男CHEN, CHIEN-NAN",45,4.26,0.15
11020CL  210400,戲曲選Selected Readings in Chinese Opera,"林佳儀LIN, CHIA-YI",25,4.17,0.17
11020CL  210801,聲韻學Chinese  Phonology,陳淑芬Shu-Fen Chen,36,3.36,0.8
11020CL  221700,杜詩Poetry of Du Fu,陳國球 Chan Kwok Kou Leonard,10,3.88,0.71
11020CL  251600,大學中文寫作：編採寫作College Chinese Writing:  Journalistic Interview and Writing,"李康莉LEE, KUNG-LI",9,4.09,0.31
11020CL  251800,大學中文寫作：劇場閱讀與評論寫作College Chinese Writing: Theatre Reviews Writing,"吳岳霖WU, YUE-LIN",9,4.17,0.21
11020CL  280800,華語口語與表達Oral Performance in Chinese,"王蒞文MARTHA LIWEN WANG GALLAGHER劉承慧LIU, CHENG-HUI",9,3.92,0.3
11020CL  281000,華語教材教法Methods and Materials in Chinese Language Teaching,"劉宜君LIU, I-CHUN",11,4.13,0.4
11020CL  292000,基礎影像敘事Fundamental Storytelling Strategies,"游惠貞YU, HUI-CHEN",11,3.59,0.4
11020CL  320900,出土文獻選讀Selected Readings of Unearthed Literature,"邴尚白BIING, SHANG-BAIR",11,3.95,0.94
11020CL  330000,史記Shi-Ji,"林聰舜LIN, TSUNG-SHUN",31,3.66,0.78
11020CL  330900,莊子Chuang Tzu,"林聰舜LIN, TSUNG-SHUN",22,3.89,0.55
11020CL  336200,閨怨文學與仕女圖Boudoir-Repining Literature and Lady Portrait,"楊晉綺YANG, CHIN-CHI",19,3.83,0.8
11020CL  350500,中國文學批評Chinese Literary Criticism,陳國球 Chan Kwok Kou Leonard,4,4.3,0
11020CL  362900,漢字教學方法Chinese Character Teaching Method,"邴尚白BIING, SHANG-BAIR",19,4.12,0.58
11020CL  371500,魯迅選讀Selections from Lu Xun,"顏健富GUAN, KEAN-FUNG",9,3.77,0.74
11020CL  372400,現代文學與跨文化展演Modern Chinese Literature and Transcultural Performance,"羅仕龍LO, SHIH-LUNG",19,3.78,1.09
11020CL  372500,中國戲劇選讀Selected Readings in Chinese Drama,"羅仕龍LO, SHIH-LUNG",8,4.1,0.33
11020CL  450400,尚書Shang Shu,"簡良如CHIEN, LIANG-JU",32,3.74,0.86
11020CL  470500,漢語語法分析Chinese Grammatical Analysis,游文福YEW BOON HOCK,14,4.19,0.14
11020CL  481800,近現代文學與性別Gender and Sexuality in Modern Chinese Literature,"劉人鵬LIU, JEN-PENG",9,3.54,0.97
11020CL  483300,同志文學與社會思潮Homosexual Literature and Social Thoughts,"蔡孟哲TSAI, MENG-CHE",22,3.95,0.35
11020CL  502500,古漢語語法專題Seminar on Classical Chinese Grammar,游文福YEW BOON HOCK,11,3.35,1.62
11020CL  502800,敘事文篇專題Seminar on Narrative Discourse,"劉承慧LIU, CHENG-HUI",7,4.13,0.22
11020CL  535400,易經專題Topics on Changes,"黃忠天HUANG, CHUNG-TIEN",8,3.58,1.36
11020CL  570000,晚清性／別論述專題Gender/Sexuality Discourses in Late Qing Dynasty,"劉人鵬LIU, JEN-PENG",8,4,0.26
11020CLC 100101,初級華語一Mandarin Basic I,"林宛蓉LIN, WAN-JUNG",18,3.71,0.82
11020CLC 100103,初級華語一Mandarin Basic I,"戴淑珍TAI, SHU-CHEN",26,4.08,0.64
