0,1,2,3,4,5
11010CL  101040,大學中文College Chinese,"劉龢靚LIU, HO-CHING",25,4.3,0
11010CL  101041,大學中文College Chinese,"劉思妤LIU, SZU-YU",25,3.98,0.23
11010CL  101042,大學中文College Chinese,"李瑞竹LEE, JUI-CHU",24,3.78,1.04
11010CL  101043,大學中文College Chinese,"蔡幸娟TSAI, HSING-CHUAN",22,3.94,0.58
11010CL  101050,大學中文College Chinese,"蔡幸娟TSAI, HSING-CHUAN",23,3.43,0.84
11010CL  101051,大學中文College Chinese,"劉龢靚LIU, HO-CHING",25,4.3,0
11010CL  101061,大學中文College Chinese,"方俠文FANG, SHIA-WEN",25,3.36,0.74
11010CL  101062,大學中文College Chinese,"蔡幸娟TSAI, HSING-CHUAN",21,2.91,1.07
11010CL  101063,大學中文College Chinese,"李慈恩LEE, TZU-EN",23,2.77,1.34
11010CL  101064,大學中文College Chinese,"許漢祥HSU, HAN-HSIANG",25,3.71,0.91
11010CL  101065,大學中文College Chinese,"李東龍LI,TUNG-LUNG",25,3.83,0.36
11010CL  110601,中國語文通論Survey of Chinese Language & Linguistics,游文福YEW BOON HOCK,63,3.17,0.71
11010CL  110700,基礎寫作一Basic Writing (I),"楊佳嫻YANG, CHIA-HSIEN",61,4.12,0.36
11010CL  111300,"唐宋明清文Essays of Tang, Song, Ming and Qing","李貞慧LEE, CHEN-HUI",62,3.06,1.09
11010CL  121000,文學概論Introduction to Literature,"許銘全HSU, MING-CHUAN",62,3.81,0.46
11010CL  210500,經學名著選讀Selected Readings in the Five Classics,"簡良如CHIEN, LIANG-JU",51,3.8,0.8
11010CL  210700,文字學Chinese Grammatology,"邴尚白BIING, SHANG-BAIR",47,3.9,0.67
11010CL  211200,近現代文學史History of Chinese Modern Literature,"楊佳嫻YANG, CHIA-HSIEN",53,3.34,0.7
11010CL  222100,宋代社會與文化The social and cultural history of Song Dynasty,"林保全LIN, BAO-QUAN",20,4.27,0.09
11010CL  232500,左傳Tso Chuan,"黃忠天HUANG, CHUNG-TIEN",28,3.93,0.78
11010CL  241900,香港短篇小說選讀Hong Kong Short Stories,陳國球 Chan Kwok Kou Leonard,9,3.72,1.02
11010CL  251200,大學中文寫作：散文創作College Chinese Writing: Prose,"吳億偉WU,I-WEI",12,4.2,0.14
11010CL  251700,大學中文寫作：文本轉譯寫作College Chinese Writing: Text Translation writing,"丁名慶TING, MING-CHING",16,4,0.15
