course_ID_full_orig,course_ID,course_num,department,course_title_zh,course_title_eng,credit_unit,limit,new_only,gen_cat,language,room_and_time_orig,time,building,instructor,memo,prerequisite,limitation,speciality,program,extra_enrollment,required_or_elective
11110PE  205007,PE 205007,PE2050,PE   體育室,重量訓練,Weight Training,0,36,0,--,中文 ZH,"WT Rm.重訓室	M3M4
",M3M4,WT Rm.重訓室,"周宜辰	CHOU, YI-CHEN",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205008,PE 205008,PE2050,PE   體育室,慢壘,Softball,0,36,0,--,中文 ZH,"Stadium棒球場	M3M4
",M3M4,Stadium棒球場,"徐志翔	HSU, CHIH-HSIANG",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205009,PE 205009,PE2050,PE   體育室,跆拳道,Tae kwon do,0,36,0,--,中文 ZH,"PEC柔道教室	M5M6
",M5M6,PEC柔道教室,"戴偉國	TAI, WEI-KUO",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205010,PE 205010,PE2050,PE   體育室,射擊初學,Shooting,0,20,0,--,中文 ZH,--,--,--,"葉志俊	YEH, CHIH-CHUN",訓練地點為風雲樓B1。患有重大傷病或特殊病史同學請主動提出,--,--,--,--,X 不接受 Not Allowed,--
11110PE  205011,PE 205011,PE2050,PE   體育室,核心肌力,Core Strength,0,36,0,--,中文 ZH,"Dance Rm舞蹈教室	M7M8
",M7M8,Dance Rm舞蹈教室,"林國威	LIN, KUO-WEI",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205012,PE 205012,PE2050,PE   體育室,射擊初學,Shooting,0,20,0,--,中文 ZH,--,--,--,"葉志俊	YEH, CHIH-CHUN",訓練地點為風雲樓B1。患有重大傷病或特殊病史同學請主動提出,--,--,--,--,X 不接受 Not Allowed,--
11110PE  205013,PE 205013,PE2050,PE   體育室,桌球初學,Ping pong(basic),0,36,0,--,中文 ZH,"Old Gym桌球場	T1T2
",T1T2,Old Gym桌球場,"鄭兆光	ZHENG, ZHAO-GUANG",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205014,PE 205014,PE2050,PE   體育室,健走體適能,Exercise walking and Physical fitness,0,36,0,--,中文 ZH,"Stadium田徑場	T1T2
",T1T2,Stadium田徑場,"張祐華	CHANG, YU-HUA",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205015,PE 205015,PE2050,PE   體育室,核心肌力,Core Strength,0,36,0,--,中文 ZH,"Dance Rm舞蹈教室	T1T2
",T1T2,Dance Rm舞蹈教室,"林國威	LIN, KUO-WEI",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205016,PE 205016,PE2050,PE   體育室,籃球進階,Basketball(advance),0,36,0,--,中文 ZH,"Gym體育館2F	T1T2
",T1T2,Gym體育館,"謝文偉	HSIEH, WEN-WEI",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
