0,1,2,3,4,5,6,7,8,9,10,11
11110BMES420200,            放射化學Radiochemistry,3,      W7W8W9,      BMES醫環110／容量72,"張智偉CHANG, CHIH-WEI", ,環境科技學程(第二專長)/生醫工程(第二專長)/生醫工程與環境科學(第一專長),15,       , ,
11110BMES423100,            分子細胞生物學Molecular and Cellular Biology,3,      M7M8M9,      BMES醫環401／容量47,"張建文CHANG, CHIEN-WEN", ,醫環系優先，第3次選課起開放全校修習 生醫工程(第二專長)/生醫工程與環境科學(第一專長),17,       , ,
11110BMES433100,            全球能源短缺衝擊Impact of Global Energy Shortage自然科學領域 Elective GE course: Natural Sciences,2,      R7R8,      BMES醫環120／容量150,"鍾堅CHUNG, CHIEN",120,"不接受停修(二退),本課程為16週課程 (跨領域)能源科技與永續社會學分學程/(跨領域)永續發展與環境管理學分學程",79,      *1, ,
11110BMES441100,            臨床醫學影像概論Introduction of medical imaging,3,      F5F6F7,      BMES醫環401／容量47,"楊菁華YANG, CHIN-HUA", ,生醫工程(第二專長)/生醫工程與環境科學(第一專長),25,       , ,
11110BMES441200,            放射物理Radiation Physics,3,      T6T7T8,      BMES醫環401／容量47,"許芳裕HSU, FANG-YUH", ,生醫工程(第二專長)/生醫工程與環境科學(第一專長)/醫學物理(第二專長),18,       , ,
11110BMES441300,            臨床醫學總論Clinical Medicine,3,      W2W3W4,      BMES醫環401／容量47,"沈名吟SHEN, MING-YIN", ,,19,       , ,
11110BMES442100,            生醫訊號與系統Biomedical Signals and Systems,3,      M2M3M4,      BMES醫環301／容量92,"許靖涵HSU, CHING-HAN", ,(跨領域)神經科學學分學程 生醫工程(第二專長)/生醫工程與環境科學(第一專長),19,       , ,
11110BMES500000,            專題演講Colloquium,0,      W7W8,      BMES醫環120／容量150,"莊淳宇CHUANG, CHUN-YU朱麗安CHU, LI-AN", ,限碩博班各組 限醫環系碩士班博士班,40,       , ,
11110BMES511101,            書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,1,      W5,      BMES醫環101／容量56,"莊淳宇CHUANG, CHUN-YU", ,限醫環系碩一甲(分子生醫工程與材料組)、丙(應用化學組)限醫環系碩士班1年級 限醫環系碩士班1年級,4,       , ,
11110BMES511103,            書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,1,      W5,      BMES醫環401／容量47,"朱麗安CHU, LI-AN", ,限醫環系碩一乙(醫學物理與工程組)限醫環系碩士班1年級 限醫環系碩士班1年級,2,       , ,
11110BMES512100,            碩士班專題研究一MS Graduate Research (I),1,,,指導教授, ,限醫環系碩士班,7,       , ,
11110BMES520100,            分子生醫基礎Introduction to Molecular Biomedicine,3,      W2W3W4,      BMES醫環101／容量56,"莊淳宇CHUANG, CHUN-YU", ,/Offered in English,5,       , ,
11110BMES520200,            生醫感測器Biomedical Sensors,3,      M5M6M7,      BMES醫環101／容量56,"劉耕谷LIU, KENG-KU", ,/Offered in English,18,       , ,
11110BMES523500,            器官晶片與人工器官設計與應用Design and Application of Organ on a Chip and Bioartificial Organ,3,      T5T6T7,      BMES醫環501／容量45,"李亦淇LEE, I-CHI", ,,15,       , ,
11110BMES529100,            生醫耦合化學Bioconjugated Chemistry,3,      R6R7R8,      BMES醫環618／容量28,"俞鐘山YU, CHUNG-SHAN", ,/Offered in English,0,       , ,
11110BMES544500,            醫學成像器材研發Development of Medical Imaging Instruments,3,      M5M6M7,      BMES醫環419／容量20,"林曉均Lin, Hsiao Chun", ,/Offered in English 本課程為16週課程 (跨領域)醫學物理學分學程,2,       , ,
11110BMES545300,            神經科學研究方法Neuroscience research methods,2,      R5R6,      BMES醫環418／容量20,"朱麗安CHU, LI-AN",14,,3,       , ,
11110BMES545500,            精準醫學暨臨床應用Clinical applications of precision medicine,2,      T3T4,      BMES醫環501／容量45,"楊晶安YANG, CHIN-AN", ,,10,       , ,
11110BMES546300,            生醫影像處理Biomedical Image Processing,3,      W2W3W4,      BMES醫環301／容量92,"許靖涵HSU, CHING-HAN", ,(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)醫學科技學分學程/(跨領域)神經科學學分學程,19,       , ,
11110BMES546700,            核磁共振影像原理及應用Magnetic Resonance Imaging Principles and Applications,3,      R2R3R4,      BMES醫環501／容量45,"彭旭霞PENG, HSU-HSIA", ,(跨領域)醫學物理學分學程,2,       , ,
11110BMES548500,            超音波與光學：生醫技術與應用Ultrasound and Optics : Biomedical Imaging Techniques and applications,3,      T5T6T7,      BMES醫環419／容量20,"林曉均Lin, Hsiao Chun", ,/Offered in English (跨領域)醫學物理學分學程,4,       , ,
11110BMES610200,            論文研究Thesis,0,,,指導教授, ,限醫環系碩二以上同學，Selectable after successfully completing first year's coursework 排除醫環系碩士班1年級,21,       , ,
11110BMES611101,            專題書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,1,      W6,      BMES醫環101／容量56,"莊淳宇CHUANG, CHUN-YU", ,限醫環系碩二甲(分子生醫工程與材料組)限醫環系碩士班2年級3年級4年級 限醫環系碩士班2年級3年級4年級,18,       , ,
11110BMES611103,            專題書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,1,      W6,      BMES醫環401／容量47,"朱麗安CHU, LI-AN", ,限醫環系碩二乙(醫學物理與工程組)限醫環系碩士班2年級3年級4年級 限醫環系碩士班2年級3年級4年級,9,       , ,
11110BMES711100,            專題書報討論Seminar,1,      W6,      BMES醫環618／容量28,"劉耕谷LIU, KENG-KU", ,/Offered in English 限醫環系博班各組(博班必修) 限醫環系博士班,8,       , ,
11110BMES712100,            博士班專題研究一PhD Graduate Research (I),1,,,指導教授, ,/Offered in English 限醫環系博士班,2,       , ,
11110BMES810100,            論文研究Thesis,0,,,指導教授, ,限醫環系博二以上同學，Selectable after successfully completing first year's coursework 排除博士班1年級,1,       , ,
11110CL  101001,            大學中文College Chinese,2,      M5M6,      GEN II綜二201／容量38,"王月秀WANG, YUE-SHIOU",25新生保留25人,新生選課限原設科系大一，3選限大一二，加退選開放全校修習 清華學院學士班大學部1年級優先，第3次選課起開放全校修習,0,       , ,
11110CL  101002,            大學中文College Chinese,2,      M5M6,      HSS人社C204／容量70,"李慈恩LEE, TZU-EN",25新生保留25人,"新生選課限原設科系大一，3選限大一二，加退選開放全校修習 中文系大學部1年級,外語系大學部1年級,人社院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101003,            大學中文College Chinese,2,      M5M6,      HSS人社D201／容量30,"方俠文FANG, SHIA-WEN",25新生保留25人,"新生選課限原設科系大一，3選限大一二，加退選開放全校修習 中文系大學部1年級,外語系大學部1年級,人社院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101004,            大學中文College Chinese,2,      M5M6,      HSS人社D203／容量30,聘任中,25新生保留25人,"教師：鄧怡菁。新生選課限原設科系大一，3選限大一二，加退選開放全校修習 中文系大學部1年級,外語系大學部1年級,人社院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101005,            大學中文College Chinese,2,      M5M6,      HSS人社D302／容量35,"林家妃LIN, CHIA-FEI",25新生保留25人,"新生選課限原設科系大一，3選限大一二，加退選開放全校修習 中文系大學部1年級,外語系大學部1年級,人社院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101006,            大學中文College Chinese,2,      M5M6,      HSS人社C402／容量40,"王達甫WANG, DA-FU",25新生保留25人,"新生選課限原設科系大一，3選限大一二，加退選開放全校修習 中文系大學部1年級,外語系大學部1年級,人社院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101007,            大學中文College Chinese,2,      M5M6,      HSS人社C403／容量40,"李瑞竹LEE, JUI-CHU",25新生保留25人,"新生選課限原設科系大一，3選限大一二，加退選開放全校修習 中文系大學部1年級,外語系大學部1年級,人社院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101008,            大學中文College Chinese,2,      M5M6,      HSS人社C509／容量80,"李東龍LI,TUNG-LUNG",25新生保留25人,"新生選課限原設科系大一，3選限大一二，加退選開放全校修習 中文系大學部1年級,外語系大學部1年級,人社院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101011,            大學中文College Chinese,2,      T5T6,      EDU教  104／容量37,"謝明憲HSIEH, MING-HSIEN",25新生保留25人,新生選課限原設科系大一，3選限大一二，加退選開放全校修習 清華學院學士班優先，第3次選課起開放全校修習,0,       , ,
11110CL  101012,            大學中文College Chinese,2,      T5T6,      LS II生二 113／容量60,"劉盈成LIU, YIN-GHENG",25新生保留25人,"新生選課限原設科系大一，3選限大一二，加退選開放全校修習 材料系大學部1年級,生科系大學部1年級,生科院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101013,            大學中文College Chinese,2,      T5T6,      LS II生二 107／容量60,"江曉輝KONH, HIU-FAI",25新生保留25人,"新生選課限原設科系大一，3選限大一二，加退選開放全校修習 材料系大學部1年級,生科系大學部1年級,生科院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101014,            大學中文College Chinese,2,      T5T6,      ESS工科 504／容量50,"林宣佑LIN, HSUAN-YU",25新生保留25人,"新生選課限原設科系大一，3選限大一二，加退選開放全校修習 材料系大學部1年級,生科系大學部1年級,生科院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101015,            大學中文College Chinese,2,      T5T6,      DELTA台達B02／容量50,"李瑞竹LEE, JUI-CHU",25新生保留25人,"新生選課限原設科系大一，3選限大一二，加退選開放全校修習 材料系,生科系,生科院學士班優先，第3次選課起開放全校修習",0,       , ,
11110CL  101016,            大學中文College Chinese,2,      T5T6,      DELTA台達B07／容量48,"王秋今WANG, CHIU-CHIN",25新生保留25人,"新生選課限原設科系大一，3選限大一二，加退選開放全校修習 材料系大學部1年級,生科系大學部1年級,生科院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101017,            大學中文College Chinese,2,      T5T6,      LTM綠能201／容量35,聘任中,25新生保留25人,"教師：李琪琪。新生選課限原設科系大一，3選限大一二，加退選開放全校修習 材料系大學部1年級,生科系大學部1年級,生科院學士班大學部1年級優先，第3次選課起開放全校修習",0,       , ,
11110CL  101022,            大學中文College Chinese,2,      W5W6,      CHEM化   114／容量32,"李慈恩LEE, TZU-EN",25新生保留25人,新生選課限原設科系大一，3選限大一二，加退選開放全校修習 清華學院學士班大學部1年級優先，第3次選課起開放全校修習,0,       , ,
