course_ID_full_orig,current_stage_enrollment
11110GEC 130102,45
11110GEC 130401,11
11110GEC 130402,31
11110GEC 130700,54
11110GEC 130800,30
11110GEC 131000,45
11110GEC 131100,34
11110GEC 131301,45
11110GEC 131302,45
11110GEC 131400,45
11110GEC 131500,54
11110GEC 131600,45
11110GEC 131800,54
11110GEC 132000,45
11110GEC 140201,16
11110GEC 140202,31
11110GEC 140300,54
11110GEC 140401,45
11110GEC 140402,45
11110GEC 140403,45
11110GEC 140500,45
11110GEC 140601,35
11110GEC 140602,19
11110GEC 150101,35
11110GEC 150102,54
11110GEC 150200,19
11110GEC 150201,17
11110GEC 150401,144
11110GEC 150402,144
11110GEC 150700,27
11110GEC 150800,45
11110GEC 160100,45
11110GEC 160201,45
11110GEC 160202,50
11110GEC 160300,45
11110GEC 160600,54
11110GEC 161001,36
11110GEC 161002,36
11110GEC 161100,45
11110GEC 161200,54
11110GEC 161300,45
11110GEC 161500,54
11110GEC 162000,45
11110GEC 170201,54
11110GEC 170202,45
11110GEC 170401,30
11110GEC 170402,45
11110GEC 170500,54
11110HIS 111000,19
11110HIS 213000,120
11110HIS 213100,47
11110HIS 231700,6
11110HIS 232700,160
11110HIS 233100,33
11110HIS 233300,70
11110HIS 233700,9
11110HIS 240200,85
11110HIS 260500,44
11110HSS 101100,35
11110HSS 110000,25
11110HSS 202500,25
11110HSS 211700,25
11110HSS 211800,6
11110HSS 220000,20
11110HSS 220300,19
11110HSS 270000,37
11110HSS 312500,10
11110HSS 315600,9
11110HSS 315700,5
11110HSS 315900,3
11110HSS 320700,19
11110HSS 320800,6
11110HSS 322800,11
11110HSS 324300,19
11110HSS 331700,17
11110HSS 332100,21
11110HSS 350800,18
11110HSS 351700,21
11110HSS 356000,17
11110HSS 371200,11
11110HSS 372900,19
11110HSS 391700,15
11110HSS 392200,20
11110JITA111000,4
11110JMU 202300,8
11110LS  114300,200
11110LS  374500,38
11110LST 350301,98
11110LST 350302,47
11110PHYS241000,40
11110PHYS370000,50
11110TE  202101,8
11110TE  202102,6
11110THC 100200,15
11110UPMT200200,50
11110ECON100101,0
11110ECON100102,0
11110ECON100103,0
11110ECON100104,0
11110ECON100105,0
11110ECON100106,0
11110ECON221200,30
11110FL  350100,11
11110GEC 110301,79
11110GEC 110302,63
11110GEC 110500,54
11110GEC 110700,54
11110GEC 110800,57
11110GEC 111300,54
11110GEC 111501,45
11110GEC 111502,45
11110GEC 111503,45
11110GEC 112100,54
11110GEC 112300,57
11110GEC 112400,54
11110GEC 120100,54
11110GEC 120200,90
11110GEC 120301,45
11110GEC 120302,45
11110GEC 120303,45
11110GEC 120304,45
11110GEC 120601,45
11110GEC 120602,45
11110GEC 120700,72
11110GEC 130101,45
11110GEC 130102,45
11110GEC 130401,11
11110GEC 130402,31
11110GEC 130700,54
11110GEC 130800,30
11110GEC 131000,45
11110GEC 131100,34
11110GEC 131301,45
11110GEC 131302,45
11110GEC 131400,45
11110GEC 131500,54
11110GEC 131600,45
11110GEC 131800,54
11110GEC 132000,45
11110GEC 140201,16
11110GEC 140202,31
11110GEC 140300,54
11110GEC 140401,45
11110GEC 140402,45
11110GEC 140403,45
11110GEC 140500,45
11110GEC 140601,35
11110GEC 140602,19
11110GEC 150101,35
11110GEC 150102,54
11110GEC 150200,19
11110GEC 150201,17
11110GEC 150401,144
11110GEC 150402,144
11110GEC 150700,27
11110GEC 150800,45
11110GEC 160100,45
11110GEC 160201,45
11110GEC 160202,50
11110GEC 160300,45
11110GEC 160600,54
11110GEC 161001,36
11110GEC 161002,36
11110GEC 161100,45
11110GEC 161200,54
11110GEC 161300,45
11110GEC 161500,54
11110GEC 162000,45
11110GEC 170201,54
11110GEC 170202,45
11110GEC 170401,30
11110GEC 170402,45
11110GEC 170500,54
11110HIS 213000,120
11110HIS 213100,47
11110HIS 232700,160
11110HIS 233100,33
11110HIS 233300,70
11110HIS 233700,9
11110LS  114300,200
11110GOM 600000,1
11110GPTS511200,1
11110GPTS511300,0
11110GPTS521600,0
11110GPTS522200,13
11110GPTS600000,1
11110HBA 500200,0
11110HBA 500300,0
11110HBA 500400,0
11110HBA 500800,15
11110HBA 500900,15
11110HIS 111000,19
11110HIS 213000,120
11110HIS 213100,47
11110HIS 231700,6
11110HIS 232700,160
11110HIS 233100,33
11110HIS 233300,70
11110HIS 233700,9
11110HIS 240200,85
11110HIS 260500,44
11110HIS 503600,3
11110HIS 504000,7
11110HIS 510000,4
11110HIS 510300,9
11110HIS 511800,9
11110HIS 514700,9
11110HIS 610900,1
11110HIS 680000,2
11110HIS 700500,8
11110HIS 800000,2
11110HSS 100100,10
11110HSS 100300,80
11110HSS 101100,35
11110HSS 110000,25
11110HSS 140000,13
11110HSS 150000,68
11110HSS 200300,60
11110HSS 202500,25
11110HSS 211700,25
11110HSS 211800,6
11110HSS 220000,20
11110HSS 220300,19
11110HSS 221300,8
11110HSS 230000,20
11110HSS 230100,31
11110HSS 230200,11
11110HSS 240100,40
11110HSS 240200,29
11110HSS 250300,15
11110HSS 251700,4
11110HSS 270000,37
11110HSS 290000,30
11110HSS 291000,11
11110HSS 291400,20
11110HSS 291700,25
11110HSS 300600,52
11110HSS 301400,20
11110HSS 310400,15
11110HSS 312500,10
11110HSS 315600,9
11110HSS 315700,5
11110HSS 315800,4
11110HSS 315900,3
11110HSS 316000,6
11110HSS 316200,9
11110HSS 320700,19
11110HSS 320800,6
11110HSS 321700,21
11110HSS 322800,11
11110HSS 324300,19
11110HSS 331700,17
11110HSS 331800,0
11110HSS 332100,21
11110HSS 340100,30
11110HSS 341000,29
11110HSS 342600,9
11110HSS 348400,20
11110HSS 350800,18
11110HSS 351300,3
11110HSS 351700,21
11110HSS 352000,25
11110HSS 352600,24
11110HSS 356000,17
11110HSS 360200,8
11110HSS 371200,11
11110HSS 372900,19
11110HSS 382500,12
11110HSS 391700,15
11110HSS 392200,20
11110HSS 392700,20
11110HSS 400000,7
11110HSS 490200,25
11110IACS500000,0
11110IACS500400,1
11110IACU585200,1
11110IBP 100100,5
11110IBP 100201,2
11110IBP 100202,4
11110IBP 100301,0
11110IBP 100302,4
11110IBP 100500,4
11110IBP 100600,3
11110IBP 101500,35
11110IBP 102100,0
11110IBP 102300,25
11110IBP 102400,7
11110IBP 201400,26
11110IBP 201500,24
11110IBP 201701,15
11110IBP 201702,14
11110IBP 300100,8
11110IBP 301000,11
